id;start_date;end_date;name;description;street;city;available_spaces;teacher_id
1;2019-10-03T19:56:30;2019-10-04T01:17:40;portal calculating Metal;real-time discrete redundant;Streich Station;Tateton;51134;1
2;2019-10-04T08:15:25;2019-10-03T20:20:42;digital deposit;extend Unbranded Fresh Pants Tools;Kertzmann Pass;Margaretetown;32815;2
3;2019-10-03T21:12:26;2019-10-04T04:39:37;Specialist generating;Computers Small Fresh Gloves back-end;Lebsack Creek;Runteburgh;21582;3
4;2019-10-03T09:12:56;2019-10-03T17:25:56;Refined Intelligent Granite Shirt;Philippine Peso Metal;Wade Crescent;Michaelborough;4106;4
5;2019-10-03T13:17:50;2019-10-03T22:48:35;content;Gorgeous Electronics Brand;Powlowski Street;Hailieton;17329;5
6;2019-10-03T10:24:59;2019-10-04T04:37:37;Enterprise-wide Benin;Tuna Response invoice;Madisyn Motorway;Hoytstad;73003;6
7;2019-10-03T22:18:40;2019-10-04T07:14:10;Louisiana;hack;Carroll Bridge;North Aurelietown;31141;7
8;2019-10-03T11:51:02;2019-10-03T08:52:24;Shoes Music connect;Hollow Shoes systems;Morar Keys;Nicolashaven;4530;8
9;2019-10-04T02:07:12;2019-10-03T23:23:27;Personal Loan Account;Cambridgeshire Norfolk Island;Morar Rapid;Port Lucyside;2651;9
10;2019-10-03T11:34:08;2019-10-03T18:19:22;Data North Dakota;North Carolina Granite;Reggie Station;Mullerbury;82042;10
